desc,n_nodes,label,pred,conv3_feats,avg_desc_act,Cluster,acc,kmeansbitter,ClusterName,Imp
LPG,3,0,0,"[[ 0.00592936 -0.00292664  0.009816   -0.12622328  0.03523437  0.21149836
  -0.04549177 -0.12392787  0.1558773  -0.08226098  0.09894399  0.01685464
   0.02863265 -0.0552673   0.02503038  0.01348509]
 [ 0.01872556  0.0302314   0.02348688 -0.10941079  0.03221588  0.18574633
  -0.06850691 -0.13520622  0.13887519 -0.09655844  0.05319139  0.01606607
   0.01322207 -0.05473032  0.01269796 -0.00725468]
 [-0.00459717  0.03586565  0.02748311 -0.08792126  0.0041501   0.15353787
  -0.03295996 -0.10301384  0.122108   -0.05204946 -0.0044493   0.05145198
   0.04011497 -0.04384897 -0.0372638   0.01400909]]",[0.01032527 0.00329946 0.00516356],2.0,1,7,Cluster-2,0.006262763
HL,2,0,0,"[[-0.15039615  0.00466729 -0.11869371 -0.26070696 -0.09381342  0.5551459
  -0.05155902 -0.13879737  0.215686   -0.0734954   0.5481459   0.3509618
   0.15134677  0.17154658 -0.20589373  0.44652012]
 [-0.15039615  0.00466729 -0.11869371 -0.26070696 -0.09381342  0.5551459
  -0.05155902 -0.13879737  0.215686   -0.0734954   0.5481459   0.3509618
   0.15134677  0.17154658 -0.20589373  0.44652012]]",[0.08441653 0.08441653],1.0,1,3,Cluster-1,0.08441653
IL,2,1,0,"[[ 0.03474718 -0.01140388  0.04846856 -0.05051911 -0.00335758  0.03185984
   0.00042047 -0.10862719  0.03249832 -0.00718144 -0.01303801 -0.03515746
   0.03513943 -0.01051371  0.00904415 -0.00489989]
 [ 0.03474718 -0.01140388  0.04846856 -0.05051911 -0.00335758  0.03185984
   0.00042047 -0.10862719  0.03249832 -0.00718144 -0.01303801 -0.03515746
   0.03513943 -0.01051371  0.00904415 -0.00489989]]",[-0.00328252 -0.00328252],2.0,0,8,Cluster-2,-0.0032825205
MKG,3,0,0,"[[-0.04898255 -0.00230364 -0.06150494 -0.22023687 -0.00168802  0.42739624
  -0.09133595 -0.16971041  0.20445018 -0.12948675  0.3986912   0.15335998
   0.0615868   0.05312572 -0.04162489  0.2171157 ]
 [-0.03038438  0.00173766 -0.05916572 -0.22752102  0.01603726  0.43648297
  -0.11744082 -0.19098094  0.21013436 -0.15921724  0.41651097  0.12800452
   0.04063649  0.04355722 -0.01181429  0.19408885]
 [-0.02066543 -0.01182412 -0.03393471 -0.18799871  0.0228532   0.34543186
  -0.07566114 -0.15612918  0.19028614 -0.11741103  0.29256517  0.08269037
   0.0429154   0.00276285  0.00469076  0.12594685]]",[0.04680324 0.04316662 0.03165739],1.0,1,3,Cluster-1,0.040542413
APFPEVF,7,1,1,"[[-0.02968046 -0.03623427 -0.00067827 -0.12240294  0.01075637  0.20380227
   0.0163792  -0.07997461  0.15484507 -0.02086138  0.09304646  0.04905182
   0.07201718 -0.04387112 -0.00843172  0.05673746]
 [ 0.00351645  0.0032516   0.0223554  -0.09696203  0.01329689  0.15308045
  -0.02274347 -0.10750911  0.11834773 -0.04755637  0.04026665  0.02174834
   0.03999716 -0.04035079 -0.00363236  0.01592662]
 [ 0.06772113  0.05510448  0.07102036 -0.03239861  0.00582886  0.01012999
  -0.06594816 -0.1465146   0.01677513 -0.0622563  -0.07202341 -0.04617407
  -0.00816781 -0.01832901  0.00590022 -0.05434866]
 [ 0.11445729  0.07163509  0.09725236 -0.00192696  0.01101799 -0.06897141
  -0.09515725 -0.17852959 -0.04212798 -0.07861128 -0.10886323 -0.10653269
  -0.04276257 -0.00598619  0.03593496 -0.1001783 ]
 [ 0.12856759  0.04925658  0.10315399  0.00895868  0.00982737 -0.10985942
  -0.0811401  -0.18056038 -0.07280396 -0.06182352 -0.10352096 -0.14050925
  -0.04377586  0.00598597  0.05714639 -0.10547432]
 [ 0.08777995  0.00735384  0.07823472 -0.01594213  0.00253066 -0.0578986
  -0.03272386 -0.14495544 -0.03434061 -0.02573987 -0.05484114 -0.10364797
  -0.00411616  0.00349201  0.04312536 -0.05690399]
 [ 0.06255808 -0.00156715  0.06407822 -0.03238661 -0.00026973 -0.01521035
  -0.01696073 -0.12767807 -0.00255264 -0.01691366 -0.03495997 -0.07107454
   0.01455342 -0.00316898  0.02691666 -0.03217132]]","[ 0.01965632  0.00706457 -0.01710503 -0.03120936 -0.0335357  -0.01928708
 -0.01167546]",2.0,1,8,Cluster-2,-0.01229882
LVYP,4,0,0,"[[ 0.00652951 -0.02138449  0.03263059 -0.06891683 -0.0064906   0.0796185
   0.0180559  -0.08929764  0.06806198  0.00269313  0.0092046   0.00128496
   0.05602654 -0.01796588 -0.00908978  0.02277044]
 [ 0.01362639 -0.01887432  0.03661391 -0.06428972 -0.00570263  0.06760697
   0.0136205  -0.09415911  0.05911755  0.00020963  0.00361048 -0.00788048
   0.05077333 -0.01609162 -0.00452901  0.01581123]
 [ 0.00410865 -0.02224075  0.03127181 -0.07049521 -0.00675938  0.08371584
   0.01956888 -0.08763932  0.07111306  0.00354029  0.01111285  0.00441144
   0.05781849 -0.01860522 -0.01064553  0.02514435]
 [-0.01703693 -0.02971996  0.01940325 -0.08428198 -0.00910718  0.11950493
   0.03278441 -0.07315427  0.09776352  0.01094004  0.02778087  0.03172044
   0.07347074 -0.02418967 -0.02423463  0.04587977]]",[0.00523318 0.00309144 0.00596377 0.01234521],2.0,1,7,Cluster-2,0.0066583995
GLGG,4,1,1,"[[ 0.15773599  0.03209734  0.11749954  0.0296687   0.0102979  -0.17629983
  -0.07644485 -0.1928764  -0.12250845 -0.05022048 -0.10998406 -0.19399446
  -0.05589858  0.02196709  0.08808222 -0.12550308]
 [ 0.21871255  0.0536648   0.15172437  0.06942499  0.01706814 -0.27950323
  -0.11455387 -0.23464629 -0.19935922 -0.07155879 -0.15804888 -0.2727442
  -0.10103428  0.03807074  0.12726848 -0.1852969 ]
 [ 0.23323904  0.05880283  0.15987776  0.07889615  0.01868102 -0.30408943
  -0.12363259 -0.24459714 -0.21766742 -0.07664222 -0.16949938 -0.2915048
  -0.11178697  0.04190712  0.13660385 -0.1995416 ]
 [ 0.18738802  0.0425853   0.13414258  0.04900162  0.01359017 -0.22648619
  -0.09497672 -0.2131885  -0.15987988 -0.06059699 -0.1333573  -0.23228934
  -0.07784743  0.02979806  0.10713795 -0.15457997]]",[-0.04039884 -0.05880073 -0.06318461 -0.04934741],3.0,1,2,Cluster-3,-0.052932896
CF,2,0,0,"[[-0.38154787  0.07667062 -0.334999   -0.50807536 -0.29503435  1.1893051
  -0.15931429 -0.23290822  0.32299057 -0.1511713   1.3658849   0.91615
   0.30858126  0.5696122  -0.5836292   1.1702802 ]
 [-0.38154787  0.07667062 -0.334999   -0.50807536 -0.29503435  1.1893051
  -0.15931429 -0.23290822  0.32299057 -0.1511713   1.3658849   0.91615
   0.30858126  0.5696122  -0.5836292   1.1702802 ]]",[0.2045497 0.2045497],1.0,1,3,Cluster-1,0.2045497
LVL,3,0,0,"[[ 0.04207784 -0.00881102  0.0525831  -0.04573957 -0.00254365  0.01945263
  -0.00416104 -0.1136488   0.02325925 -0.00974675 -0.01881641 -0.04462484
   0.02971318 -0.00857772  0.01375516 -0.01208836]
 [ 0.05939598 -0.00268558  0.06230341 -0.03444827 -0.00062082 -0.00985849
  -0.0149845  -0.125512    0.00143264 -0.01580711 -0.03246745 -0.06699079
   0.01689405 -0.00400407  0.02488457 -0.02907059]
 [ 0.04207784 -0.00881102  0.0525831  -0.04573957 -0.00254365  0.01945263
  -0.00416104 -0.1136488   0.02325925 -0.00974675 -0.01881641 -0.04462484
   0.02971318 -0.00857772  0.01375516 -0.01208836]]",[-0.00549481 -0.01072119 -0.00549481],2.0,1,7,Cluster-2,-0.007236937
RGPFIV,6,1,1,"[[ 0.23208664  0.2834285   0.17582455  0.06428355  0.04122377 -0.16231199
  -0.31067026 -0.30658332 -0.11021309 -0.2548685  -0.3039654  -0.16048983
  -0.18847933 -0.02619416  0.03601791 -0.26863283]
 [ 0.2926972   0.32374787  0.21123624  0.10263819  0.04985555 -0.2531637
  -0.3643043  -0.35336965 -0.17770846 -0.29106665 -0.36310026 -0.22789896
  -0.23985055 -0.01587567  0.06659144 -0.3339596 ]
 [ 0.27444947  0.22814868  0.19442078  0.09623179  0.03884871 -0.27767056
  -0.27852127 -0.31600168 -0.19670199 -0.21391842 -0.29508913 -0.2556433
  -0.19562438  0.00616235  0.09441751 -0.2882483 ]
 [ 0.24821319  0.12427492  0.17271969  0.08495258  0.02640594 -0.29204243
  -0.18319914 -0.27164134 -0.208194   -0.12964933 -0.217503   -0.27620703
  -0.14360732  0.02773226  0.11952744 -0.23300302]
 [ 0.2329285   0.05869299  0.15970348  0.07869369  0.01864654 -0.30356383
  -0.12343852 -0.24438441 -0.21727602 -0.07653354 -0.16925462 -0.29110372
  -0.1115571   0.0418251   0.13640429 -0.19923708]
 [ 0.18859856  0.04301346  0.13482203  0.04979087  0.01372458 -0.22853501
  -0.09573328 -0.21401772 -0.16140558 -0.06102061 -0.13431151 -0.23385271
  -0.07874348  0.03011776  0.10791589 -0.15576701]]",[-0.07872149 -0.09834571 -0.08654623 -0.07195129 -0.06309089 -0.04971273],4.0,1,6,Cluster-4,-0.07472806
KKIATYQER,9,0,0,"[[ 0.10900506  0.00149104  0.00513958 -0.19770136  0.14411768  0.31795037
  -0.20511988 -0.26084623  0.20828108 -0.27032658  0.29045442 -0.12449617
  -0.09061299 -0.09789047  0.21341558 -0.08780314]
 [ 0.10589026  0.00064375  0.00500892 -0.1960102   0.14112245  0.31538668
  -0.20014513 -0.25678396  0.20708095 -0.26472372  0.28602073 -0.12059837
  -0.0869604  -0.09667721  0.20843299 -0.08455683]
 [ 0.03478326 -0.01869882  0.00202598 -0.15740311  0.07274527  0.25686052
  -0.08657785 -0.16404724  0.17968316 -0.13681762  0.18480548 -0.03161664
  -0.00357646 -0.06898035  0.09468718 -0.0104478 ]
 [-0.02533002 -0.03505086 -0.00049577 -0.12476498  0.01493978  0.20738299
   0.00943098 -0.08564839  0.1565213  -0.02868687  0.09923896  0.04360778
   0.06691562 -0.04556566 -0.00147258  0.05220336]
 [-0.05225269 -0.04237438 -0.00162517 -0.11014748 -0.01094931  0.18522371
   0.05243003 -0.05053624  0.1461479   0.01974118  0.06091666  0.07729822
   0.0984866  -0.03507902 -0.04453923  0.08026265]
 [-0.05468385 -0.0430357  -0.00172716 -0.1088275  -0.01328713  0.1832227
   0.05631291 -0.04736555  0.14521118  0.02411431  0.05745609  0.08034051
   0.10133751 -0.03413206 -0.04842822  0.08279645]
 [-0.01910174 -0.03045028  0.01824432 -0.08562822 -0.00933644  0.12299964
   0.03407487 -0.07173985  0.10036588  0.0116626   0.02940846  0.03438709
   0.07499914 -0.02473498 -0.02556157  0.04790452]
 [-0.01347046 -0.02845849  0.02140504 -0.08195666 -0.0087112   0.11346864
   0.03055544 -0.07559736  0.09326859  0.00969198  0.02496959  0.02711442
   0.07083079 -0.02324778 -0.02194265  0.04238247]
 [-0.00420795 -0.02518234  0.02660388 -0.07591758 -0.00768278  0.09779177
   0.02476658 -0.08194232  0.08159475  0.00645063  0.01766842  0.01515213
   0.06397456 -0.02080159 -0.01599016  0.03329963]]","[-0.00280887 -0.00230432  0.00921406  0.01895161  0.02331271  0.02370653
  0.01296834  0.0112689   0.0084736 ]",1.0,1,3,Cluster-1,0.0114202835
IR,2,0,0,"[[-1.7662361e-02 -3.2965098e-02 -1.7410913e-04 -1.2892810e-01
   2.2313083e-02  2.1369404e-01 -2.8152950e-03 -9.5648438e-02
   1.5947568e-01 -4.2479333e-02  1.1015328e-01  3.4012638e-02
   5.7924103e-02 -4.8552286e-02  1.0792945e-02  4.4211976e-02]
 [-1.7662361e-02 -3.2965098e-02 -1.7410913e-04 -1.2892810e-01
   2.2313083e-02  2.1369404e-01 -2.8152950e-03 -9.5648438e-02
   1.5947568e-01 -4.2479333e-02  1.1015328e-01  3.4012638e-02
   5.7924103e-02 -4.8552286e-02  1.0792945e-02  4.4211976e-02]]",[0.01770955 0.01770955],1.0,1,3,Cluster-1,0.017709546
HLPLP,5,0,0,"[[-0.05167622 -0.01316943 -0.04609633 -0.19076216 -0.00586018  0.36324447
  -0.05120372 -0.13647947  0.18866    -0.08756931  0.30870536  0.13600129
   0.07329684  0.03103394 -0.04533464  0.18364865]
 [-0.02844641 -0.01218088 -0.03695679 -0.18863901  0.01564568  0.3497839
  -0.06945658 -0.15114254  0.18985017 -0.10985313  0.29645166  0.09602744
   0.05055467  0.00981256 -0.00786008  0.14035618]
 [ 0.00838894 -0.02232351 -0.00452688 -0.15290031  0.04791926  0.25686538
  -0.05699334 -0.14005044  0.17468905 -0.10234642  0.1774608   0.00868537
   0.02437478 -0.0505807   0.05225552  0.02978741]
 [ 0.03568558 -0.01845336  0.00206383 -0.15789302  0.07361297  0.25760323
  -0.088019   -0.16522405  0.18003082 -0.13844073  0.18608987 -0.03274579
  -0.00463458 -0.06933182  0.09613059 -0.01138823]
 [ 0.02686911 -0.02085162  0.00169398 -0.15310617  0.06513496  0.25034663
  -0.07393792 -0.15372574  0.17663382 -0.12258181  0.17354032 -0.02171306
   0.00570408 -0.06589772  0.08202738 -0.00219955]]",[0.04102744 0.03399668 0.01566906 0.00906789 0.01049604],1.0,1,3,Cluster-1,0.022051426
YQQPVLGPVRGPFPI,15,1,1,"[[-0.05468385 -0.0430357  -0.00172716 -0.1088275  -0.01328713  0.1832227
   0.05631291 -0.04736555  0.14521118  0.02411431  0.05745609  0.08034051
   0.10133751 -0.03413206 -0.04842822  0.08279645]
 [-0.05468385 -0.0430357  -0.00172716 -0.1088275  -0.01328713  0.1832227
   0.05631291 -0.04736555  0.14521118  0.02411431  0.05745609  0.08034051
   0.10133751 -0.03413206 -0.04842822  0.08279645]
 [-0.0455773  -0.04055853 -0.00134514 -0.11377185 -0.00453018  0.19071804
   0.04176854 -0.05924219  0.14871997  0.00773359  0.07041856  0.06894477
   0.09065867 -0.03767915 -0.03386098  0.07330544]
 [-0.0455773  -0.04055853 -0.00134514 -0.11377185 -0.00453018  0.19071804
   0.04176854 -0.05924219  0.14871997  0.00773359  0.07041856  0.06894477
   0.09065867 -0.03767915 -0.03386098  0.07330544]
 [-0.04437723 -0.04013406 -0.00067157 -0.11298941 -0.00439694  0.1886869
   0.04101852 -0.06006426  0.14720747  0.00731363  0.0694726   0.06739491
   0.08977036 -0.03736222 -0.03308976  0.07212864]
 [-0.04676101 -0.04023339  0.00271976 -0.10366186 -0.01240746  0.16981322
   0.05136131 -0.05279282  0.13522576  0.02134177  0.05121091  0.07010836
   0.09547292 -0.03203967 -0.04333665  0.07502729]
 [-0.04676101 -0.04023339  0.00271976 -0.10366186 -0.01240746  0.16981322
   0.05136131 -0.05279282  0.13522576  0.02134177  0.05121091  0.07010836
   0.09547292 -0.03203967 -0.04333665  0.07502729]
 [-0.03556332 -0.03627275  0.00900479 -0.09636105 -0.01116417  0.15086101
   0.044363   -0.06046341  0.12111294  0.01742321  0.04238431  0.05564681
   0.08718423 -0.02908241 -0.03614051  0.0640468 ]
 [-0.0263764  -0.03143276  0.01427849 -0.09046921 -0.00998391  0.13630038
   0.03729426 -0.0672003   0.11028361  0.01294573  0.03418586  0.04469765
   0.07983584 -0.02713538 -0.03094231  0.05454174]
 [ 0.05263646  0.0530275   0.06279393 -0.04243442  0.00448228  0.03768563
  -0.05923932 -0.13709036  0.03732175 -0.05956409 -0.06209312 -0.02481703
   0.00187521 -0.0232945  -0.00523963 -0.0405734 ]
 [ 0.17865652  0.19824858  0.14094788  0.03353022  0.02861395 -0.11306588
  -0.22197515 -0.25149286 -0.07409535 -0.18355723 -0.2219757  -0.12963712
  -0.12608927 -0.02033581  0.03108994 -0.19555601]
 [ 0.29355842  0.29447198  0.20953843  0.10502176  0.04697113 -0.27300155
  -0.3401619  -0.34570777 -0.19272779 -0.26788723 -0.34598425 -0.24603742
  -0.2302947  -0.00673634  0.08026955 -0.32557356]
 [ 0.2952512   0.23855735  0.20632136  0.10960647  0.04146571 -0.31098193
  -0.2940676  -0.33110234 -0.2214819  -0.22361977 -0.31332156 -0.28075212
  -0.2120735   0.01073679  0.10643192 -0.30959865]
 [ 0.21924607  0.11102657  0.15623967  0.06625119  0.02288721 -0.24488105
  -0.16259    -0.25096083 -0.17310025 -0.11712898 -0.1928633  -0.24052507
  -0.12113074  0.02098681  0.10224414 -0.20366079]
 [ 0.12059958  0.01896218  0.09665567  0.00545605  0.00617464 -0.11344613
  -0.05323542 -0.1674374  -0.07570426 -0.03722486 -0.08071126 -0.14603373
  -0.02840971  0.01215953  0.06421673 -0.08908701]]","[ 0.02370653  0.02370653  0.02223139  0.02223139  0.02186923  0.02131553
  0.02131553  0.01793622  0.01505146 -0.01278269 -0.05791833 -0.09651758
 -0.09303928 -0.06299746 -0.02919159]",2.0,1,8,Cluster-2,-0.010872209
AR,2,0,0,"[[ 0.12151268  0.00489337  0.00566428 -0.2044923   0.15614511  0.32824504
  -0.2250962  -0.2771585   0.21310031 -0.29282507  0.308258   -0.14014792
  -0.10528009 -0.1027623   0.23342328 -0.1008388 ]
 [ 0.12151268  0.00489337  0.00566428 -0.2044923   0.15614511  0.32824504
  -0.2250962  -0.2771585   0.21310031 -0.29282507  0.308258   -0.14014792
  -0.10528009 -0.1027623   0.23342328 -0.1008388 ]]",[-0.00483494 -0.00483494],1.0,1,3,Cluster-1,-0.0048349425
FW,2,1,1,"[[ 0.18721391  0.18101294  0.14425683  0.04035766  0.02752277 -0.1401396
  -0.21041724 -0.25170237 -0.0944251  -0.17046767 -0.21653171 -0.15235159
  -0.12544128 -0.01197128  0.04557956 -0.19762456]
 [ 0.18721391  0.18101294  0.14425683  0.04035766  0.02752277 -0.1401396
  -0.21041724 -0.25170237 -0.0944251  -0.17046767 -0.21653171 -0.15235159
  -0.12544128 -0.01197128  0.04557956 -0.19762456]]",[-0.05907054 -0.05907054],4.0,1,6,Cluster-4,-0.059070542
DYGLYP,6,0,0,"[[ 8.8170812e-02  7.4920952e-03  7.8454100e-02 -1.5687287e-02
   2.5740601e-03 -5.8560148e-02 -3.2968137e-02 -1.4522320e-01
  -3.4833208e-02 -2.5876649e-02 -5.5149239e-02 -1.0415276e-01
  -4.4054836e-03  3.5952330e-03  4.3376554e-02 -5.7287261e-02]
 [ 1.0676050e-01  1.4067277e-02  8.8888094e-02 -3.5669506e-03
   4.6380777e-03 -9.0023354e-02 -4.4586290e-02 -1.5795740e-01
  -5.8262408e-02 -3.2381978e-02 -6.9802582e-02 -1.2816089e-01
  -1.8165819e-02  8.5046887e-03  5.5323113e-02 -7.5516373e-02]
 [ 6.3524619e-02 -1.2252778e-03  6.4620718e-02 -3.1756431e-02
  -1.6241334e-04 -1.6846225e-02 -1.7564807e-02 -1.2834015e-01
  -3.7708133e-03 -1.7251890e-02 -3.5721842e-02 -7.2322808e-02
   1.3837971e-02 -2.9137172e-03  2.7537812e-02 -3.3119127e-02]
 [ 4.4070296e-03 -2.2135213e-02  3.1439286e-02 -7.0300668e-02
  -6.7262552e-03  8.3210826e-02  1.9382399e-02 -8.7843716e-02
   7.0737012e-02  3.4358799e-03  1.0877650e-02  4.0260926e-03
   5.7597626e-02 -1.8526416e-02 -1.0453783e-02  2.4851751e-02]
 [-3.7541412e-02 -3.7205651e-02  6.4115496e-03 -1.0106297e-01
  -8.9549199e-03  1.6139236e-01  4.2823214e-02 -6.0876470e-02
   1.2830521e-01  1.3978177e-02  5.0259117e-02  5.8315970e-02
   8.7413579e-02 -3.1471226e-02 -3.4678951e-02  6.5810576e-02]
 [-4.9736146e-02 -4.1571356e-02 -7.6638343e-04 -1.0978073e-01
  -9.7630257e-03  1.8364649e-01  4.9820758e-02 -5.2920256e-02
   1.4473076e-01  1.7315809e-02  6.1291020e-02  7.4090905e-02
   9.6162766e-02 -3.5111267e-02 -4.1901655e-02  7.7729225e-02]]",[-0.01940503 -0.02501514 -0.01196715  0.00587372  0.01893239  0.02270231],2.0,1,7,Cluster-2,-0.0014798198
FPQYLQY,7,0,0,"[[ 0.04545233  0.11359748  0.06341533 -0.05100583  0.01004266  0.08905959
  -0.10740644 -0.14977466  0.07610459 -0.10714705 -0.09439622  0.0207871
  -0.01455475 -0.04420558 -0.03785829 -0.05322231]
 [ 0.027077    0.08485477  0.05146146 -0.06161631  0.00576157  0.10633884
  -0.07736337 -0.13098225  0.08878588 -0.08306015 -0.06653081  0.03171535
   0.00671188 -0.04235706 -0.03979791 -0.0282624 ]
 [-0.0324009   0.00024699  0.01339021 -0.09647976 -0.0072466   0.16750553
   0.01284935 -0.07250528  0.13380298 -0.01178463  0.01859506  0.07193917
   0.07264429 -0.03891273 -0.04981541  0.04989884]
 [ 0.00729959 -0.02111211  0.03306282 -0.06841474 -0.00640509  0.07831514
   0.01757461 -0.08982517  0.06709141  0.00242365  0.00859758  0.00029042
   0.05545652 -0.0177625  -0.00859489  0.0220153 ]
 [ 0.00729959 -0.02111211  0.03306282 -0.06841474 -0.00640509  0.07831514
   0.01757461 -0.08982517  0.06709141  0.00242365  0.00859758  0.00029042
   0.05545652 -0.0177625  -0.00859489  0.0220153 ]
 [ 0.00729959 -0.02111211  0.03306282 -0.06841474 -0.00640509  0.07831514
   0.01757461 -0.08982517  0.06709141  0.00242365  0.00859758  0.00029042
   0.05545652 -0.0177625  -0.00859489  0.0220153 ]
 [-0.05468385 -0.0430357  -0.00172716 -0.1088275  -0.01328713  0.1832227
   0.05631291 -0.04736555  0.14521118  0.02411431  0.05745609  0.08034051
   0.10133751 -0.03413206 -0.04842822  0.08279645]]","[-0.0150695  -0.00795397  0.01448295  0.00500078  0.00500078  0.00500078
  0.02370653]",2.0,1,7,Cluster-2,0.0043097646
RGPEPIIV,8,1,1,"[[ 0.17506076  0.22297888  0.14084701  0.02958418  0.03083427 -0.09082331
  -0.24142289 -0.2562833  -0.0573152  -0.20293918 -0.23478357 -0.11002677
  -0.13238788 -0.02911923  0.01724223 -0.20014393]
 [ 0.16837469  0.2202393   0.13706663  0.02524799  0.03005415 -0.07973988
  -0.23693156 -0.2515987  -0.04906501 -0.20030198 -0.22928782 -0.10160752
  -0.12730959 -0.0307721   0.01311172 -0.1934706 ]
 [ 0.06335101  0.09394738  0.07154569 -0.03773569  0.00941255  0.0426224
  -0.09691542 -0.15478787  0.04130802 -0.09278716 -0.09287544 -0.0172829
  -0.01885071 -0.03165123 -0.01482832 -0.06266652]
 [-0.00559967  0.00785363  0.02829506 -0.07889017 -0.00445954  0.1209804
  -0.0023381  -0.09034205  0.09914224 -0.01967677 -0.0014043   0.03624796
   0.05345106 -0.03127036 -0.03176071  0.02420192]
 [ 0.00797846 -0.020872    0.03344385 -0.06797212 -0.00632972  0.07716615
   0.01715033 -0.0902902   0.06623581  0.00218608  0.00806246 -0.00058632
   0.05495401 -0.01758322 -0.00815862  0.0213496 ]
 [ 0.0893909   0.00792365  0.07913891 -0.01489179  0.00270953 -0.06062518
  -0.03373067 -0.14605898 -0.03637095 -0.02630362 -0.05611097 -0.10572848
  -0.00530861  0.00391746  0.04416064 -0.05848369]
 [ 0.17838769  0.03940187  0.12909088  0.04313347  0.01259086 -0.211253
  -0.08935171 -0.20702311 -0.14853649 -0.05744739 -0.12626277 -0.22066563
  -0.07118524  0.02742111  0.10135393 -0.14575419]
 [ 0.1706944   0.03668075  0.12477282  0.0381175   0.01173668 -0.1982321
  -0.08454359 -0.20175311 -0.13884039 -0.05475518 -0.12019853 -0.21072996
  -0.06549058  0.02538935  0.09640987 -0.13821015]]","[-0.05866862 -0.05662439 -0.01863714  0.00652691  0.00479591 -0.01977324
 -0.04663123 -0.04430952]",3.0,1,2,Cluster-3,-0.029165165
